VendorID,ItemNumber,ItemRevision,RequiredQuantity,DueDate,ItemSupplyKey,VendorKey,ItemKey
10037,"30089-1170",A ,6,2017-09-07 00:00:00,288397469,110,4728
10037,"30089-1170",A ,6,2017-11-03 00:00:00,288397535,110,4728
10037,"30089-1170",A ,6,2017-12-04 00:00:00,288397592,110,4728
10037,"30089-1170",A ,6,2018-01-05 00:00:00,288397650,110,4728
10037,"30089-1170",A ,6,2018-02-05 00:00:00,288397717,110,4728
10037,"30089-1170",A ,6,2018-03-05 00:00:00,288397774,110,4728
10037,"30089-1170",A ,6,2018-04-05 00:00:00,288397834,110,4728
10037,"30089-1170",A ,6,2018-05-07 00:00:00,288397893,110,4728
10037,"30089-1170",A ,6,2018-06-07 00:00:00,288397930,110,4728
10037,"30089-1170",A ,6,2018-07-09 00:00:00,288397956,110,4728
10037,"30089-1170",A ,6,2018-08-06 00:00:00,288397959,110,4728
10037,"30089-1170",A ,6,2018-10-09 00:00:00,288397961,110,4728
10037,"30089-1170",A ,6,2018-11-22 00:00:00,288397962,110,4728
10037,"30089-1530",- ,20,2017-08-09 00:00:00,288397513,110,4737
10037,"30089-1530",- ,20,2017-11-22 00:00:00,288397590,110,4737
10037,"30089-1530",- ,20,2018-03-23 00:00:00,288397649,110,4737
10037,"30089-1530",- ,20,2018-06-19 00:00:00,288397716,110,4737
10037,"30089-1530",- ,20,2018-11-21 00:00:00,288397773,110,4737
10037,"30089-2010",- ,25,2017-08-01 00:00:00,288397850,110,4749
10037,"30089-2010",- ,25,2018-01-05 00:00:00,288397896,110,4749
10037,"30089-2010",- ,25,2018-05-07 00:00:00,288397954,110,4749
10037,"30089-2010",- ,25,2018-10-09 00:00:00,288397957,110,4749
10037,"31169-1000",H ,1000,2017-10-27 00:00:00,288424378,110,7141
10037,"31169-1000",H ,1000,2017-11-16 00:00:00,288424385,110,7141
10037,"31169-1000",H ,1000,2018-01-29 00:00:00,288424405,110,7141
10037,"31169-1000",H ,1000,2018-02-20 00:00:00,288424421,110,7141
