TYPE,JADE ORDER ITEM INDEX,JADE ORDER INDEX,ITEM LINE NUM,FS PO NUMBER,DUE DATE,VENDOR CODE,ITEM NUMBER,ITEM REV,ORDER QTY,TIMESTAMP,PO LINE KEY,ERROR,RECV QTY,LOT NUMBER,WAREHOUSE,SCAC,TRACK
"POREQ","","","1","POBK-011917-02","2017-06-01 00:00:00","98859","23046-1452","AE","7","","280320451","","","","","",""
"POREQ","","","1","POBK-011917-02","2017-04-20 00:00:00","98859","23046-1452","AE","1","","280320448","","","","","",""
"POREQ","","","1","POBK-011917-02","2017-05-25 00:00:00","98859","23046-1452","AE","8","","280320450","","","","","",""
"POREQ","","","1","POBK-011917-02","2017-08-24 00:00:00","98859","23046-1452","AE","9","","284321094","","","","","",""
"POREQ","","","1","POBK-011917-02","2017-10-16 00:00:00","98859","23046-1452","AE","12","","287515078","","","","","",""
"POREQ","","","1","POBK-011917-02","2017-11-07 00:00:00","98859","23046-1452","AE","12","","288306444","","","","","",""
"POREQ","","","1","POBK-011917-02","2017-09-18 00:00:00","98859","23046-1452","AE","16","","285431334","","","","","",""
"POREQ","","","1","POBK-011917-03","2017-07-18 00:00:00","98859","23065-1441","L ","1","","283062842","","","","","",""
"POREQ","","","1","POBK-011917-03","2017-08-24 00:00:00","98859","23065-1441","L ","2","","283062843","","","","","",""
"POREQ","","","1","POBK-011917-03","2017-06-22 00:00:00","98859","23065-1441","L ","4","","280111993","","","","","",""
"POREQ","","","1","POBK-011917-03","2017-09-28 00:00:00","98859","23065-1441","L ","8","","286405913","","","","","",""
"POREQ","","","1","POBK-011917-03","2017-10-26 00:00:00","98859","23065-1441","L ","8","","288001578","","","","","",""
"POREQ","","","1","POBK-011917-04","2017-04-18 00:00:00","98859","23077-1160","C ","8","","280111989","","","","","",""
"POREQ","","","1","POBK-011917-05","2017-07-06 00:00:00","98859","23069-1132","N ","1","","280111988","","","","","",""
"POREQ","","","1","POBK-011917-05","2017-07-07 00:00:00","98859","23069-1132","N ","1","","281289590","","","","","",""
"POREQ","","","1","POBK-011917-05","2017-08-09 00:00:00","98859","23069-1132","N ","1","","283062844","","","","","",""
"POREQ","","","1","POBK-011917-05","2017-08-31 00:00:00","98859","23069-1132","N ","2","","284733759","","","","","",""
"POREQ","","","1","POBK-011917-05","2017-07-27 00:00:00","98859","23069-1132","N ","3","","281701960","","","","","",""
"POREQ","","","1","POBK-012017-01","2017-06-13 00:00:00","10037","23078-1360","B ","700","","284321109","","","","","",""
"POREQ","","","1","POBK-012017-01","2017-06-19 00:00:00","10037","23078-1360","B ","700","","285500858","","","","","",""
"POREQ","","","1","POBK-012017-01","2017-07-20 00:00:00","10037","23078-1360","B ","700","","287515089","","","","","",""
"POREQ","","","1","POBK-012017-01","2017-07-27 00:00:00","10037","23078-1360","B ","3500","","287515090","","","","","",""
"POREQ","","","1","POBK-012017-02","2017-07-17 00:00:00","3054","31169-2200","G ","25","","285919438","","","","","",""
"POREQ","","","1","POBK-012517-01","2017-05-26 00:00:00","880006","2011610-1","C ","23800","","284321176","","","","","",""
"POREQ","","","1","POBK-012517-01","2017-06-12 00:00:00","880006","2011610-1","C ","47950","","284321177","","","","","",""
"POREQ","","","1","POBK-012517-01","2017-07-03 00:00:00","880006","2011610-1","C ","47950","","286198256","","","","","",""
"POREQ","","","1","POBK-012517-01","2017-07-17 00:00:00","880006","2011610-1","C ","24150","","286473800","","","","","",""
"POREQ","","","1","POBK-012517-01","2017-07-31 00:00:00","880006","2011610-1","C ","47950","","286473801","","","","","",""
"POREQ","","","1","POBK-012517-01","2017-08-14 00:00:00","880006","2011610-1","C ","47950","","286473802","","","","","",""
"POREQ","","","1","POBK-012517-01","2017-08-28 00:00:00","880006","2011610-1","C ","47950","","286473803","","","","","",""
"POREQ","","","1","POBK-012517-01","2017-09-11 00:00:00","880006","2011610-1","C ","47950","","286473804","","","","","",""
"POREQ","","","1","POBK-012517-04","2017-06-19 00:00:00","10343","30089-1183","B ","100","","287003893","","","","","",""
"POREQ","","","1","POBK-012517-04","2017-05-12 00:00:00","10343","30089-1183","B ","50","","284733763","","","","","",""
"POREQ","","","1","POBK-012517-04","2017-07-17 00:00:00","10343","30089-1183","B ","200","","288306479","","","","","",""
"POREQ","","","1","POBK-012617-04","2017-01-31 00:00:00","10037","31777-1110","- ","1","","280590743","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-09-29 00:00:00","98859","23085-1091","P ","2","","287515106","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-09-21 00:00:00","98859","23085-1091","P ","3","","286473812","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-09-28 00:00:00","98859","23085-1091","P ","3","","286405958","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-07-06 00:00:00","98859","23085-1091","P ","7","","280388376","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-05-25 00:00:00","98859","23085-1091","P ","4","","280388374","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-07-20 00:00:00","98859","23085-1091","P ","8","","280388377","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-07-27 00:00:00","98859","23085-1091","P ","11","","281289595","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-09-20 00:00:00","98859","23085-1091","P ","12","","285919400","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-08-17 00:00:00","98859","23085-1091","P ","13","","283697846","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-08-31 00:00:00","98859","23085-1091","P ","14","","284733754","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-10-26 00:00:00","98859","23085-1091","P ","15","","288001591","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-08-24 00:00:00","98859","23085-1091","P ","16","","284321130","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-06-06 00:00:00","98859","23085-1091","P ","19","","280388375","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-09-07 00:00:00","98859","23085-1091","P ","19","","285919399","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-10-12 00:00:00","98859","23085-1091","P ","21","","287515107","","","","","",""
"POREQ","","","1","POBK-012617-01","2017-06-22 00:00:00","98859","23085-1091","P ","54","","281289594","","","","","",""
"POREQ","","","1","POBK-012617-03","2017-06-19 00:00:00","98867","02-2050-62","BP","2500","","286198337","","","","","",""
"POREQ","","","1","POBK-012717-01","2017-07-21 00:00:00","10046","23046-1321","M ","100","","288001576","","","","","",""
"POREQ","","","1","POBK-012717-02","2017-05-30 00:00:00","98607","23081-1112","AB","25","","280658653","","","","","",""
"POREQ","","","1","POBK-012717-02","2017-06-06 00:00:00","98607","23081-1112","AB","25","","280658654","","","","","",""
